job_male,job_female,similarity,img_similarity,text_similarity,job_male_ratio,job_female_ratio
Training and development manager,Training and development specialist,0.9946695095948828,0.9873046875,0.97412109375,48.0,56.7
Sales manager,Marketing manager,0.9645549864814367,0.9853515625,0.9462890625,33.1,62.4
Project management specialist,Training and development specialist,0.9631518402098491,0.98046875,0.9501953125,47.3,56.7
Project management specialist,Marketing specialist,0.9615398706028033,0.990234375,0.93798828125,47.3,61.7
Project management specialist,Marketing manager,0.9598985924574477,0.98828125,0.9384765625,47.3,62.4
Information security analyst,Operations research analyst,0.9542163995926113,0.9736328125,0.94873046875,19.3,55.0
Financial and investment analyst,Operations research analyst,0.9491386953304171,0.9716796875,0.94580078125,43.9,55.0
Management analyst,Marketing manager,0.9487613478996768,0.984375,0.931640625,46.6,62.4
Sales manager,Public relations manager,0.9459990181639666,0.9921875,0.92041015625,33.1,66.4
Management analyst,Marketing specialist,0.9450025278614292,0.986328125,0.92578125,46.6,61.7
Sales manager,Human resources manager,0.9440353460972017,0.9921875,0.91845703125,33.1,76.5
Sales manager,Marketing specialist,0.9433612497160735,0.984375,0.92626953125,33.1,61.7
Training and development manager,Marketing manager,0.943249510913767,0.98876953125,0.92138671875,48.0,62.4
Training and development manager,Administrative services manager,0.9423922361682018,0.97314453125,0.9375,48.0,74.0
Project management specialist,Administrative services manager,0.942027711222972,0.974609375,0.935546875,47.3,74.0
Purchasing manager,Financial manager,0.9407106587826699,0.98779296875,0.919921875,47.7,56.2
Management analyst,Financial manager,0.9400365624015417,0.97998046875,0.927734375,46.6,56.2
Sales manager,Financial manager,0.93755449556342,0.9853515625,0.91943359375,33.1,56.2
Training and development manager,Human resources manager,0.9369097077206017,0.9892578125,0.91455078125,48.0,76.5
Project management specialist,Public relations manager,0.9313264311725613,0.9814453125,0.91748046875,47.3,66.4
Management analyst,Operations research analyst,0.9291924032268701,0.96240234375,0.93603515625,46.6,55.0
Management analyst,Public relations manager,0.9291246272320284,0.984375,0.912109375,46.6,66.4
Purchasing manager,Human resources manager,0.9276940042057753,0.98486328125,0.91015625,47.7,76.5
Training and development manager,Public relations manager,0.9258567252104719,0.986328125,0.90673828125,48.0,66.4
