occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,12.50,0.00,-3.75,6.25,6.02
Project management specialist,Training and development specialist,47.3,56.7,0.00,0.00,0.00,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,0.00,0.00,0.00,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,0.00,0.00,0.00,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,10.00,0.00,-5.00,5.00,4.75
Financial and investment analyst,Operations research analyst,43.9,55.0,12.50,0.00,-1.25,6.25,6.17
Management analyst,Marketing manager,46.6,62.4,0.00,0.00,0.00,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,20.00,0.00,-1.25,10.00,9.88
Management analyst,Marketing specialist,46.6,61.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,17.50,0.00,-1.25,8.75,8.64
Sales manager,Marketing specialist,33.1,61.7,7.50,0.00,1.25,3.75,3.70
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,0.00,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,0.00,15.00,-3.75,7.50,7.22
Management analyst,Financial manager,46.6,56.2,0.00,5.00,-2.50,2.50,2.44
Sales manager,Financial manager,33.1,56.2,7.50,12.50,-5.00,10.00,9.50
Training and development manager,Human resources manager,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,2.50,2.50,2.50,2.50,2.44
Financial and investment analyst,Financial manager,43.9,56.2,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,0.00,0.00,0.00,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,15.00,0.00,2.50,7.50,7.31
Training and development manager,Marketing specialist,48.0,61.7,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,2.50,5.00,3.75,3.75,3.61
Architectural and engineering manager,Human resources manager,12.8,76.5,2.50,0.00,1.25,1.25,1.23
Management analyst,Human resources worker,46.6,76.5,0.00,0.00,0.00,0.00,0.00
Training and development manager,Human resources worker,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,0.00,12.50,-6.25,6.25,5.86
Sales manager,Human resources worker,33.1,76.5,32.50,0.00,3.75,16.25,15.64
Facilities manager,Marketing manager,23.4,62.4,0.00,0.00,0.00,0.00,0.00
Facilities manager,Administrative services manager,23.4,74.0,0.00,0.00,0.00,0.00,0.00
Sales manager,Administrative services manager,33.1,74.0,7.50,0.00,-1.25,3.75,3.70
Management analyst,Administrative services manager,46.6,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Public relations manager,12.8,66.4,5.00,0.00,0.00,2.50,2.50
Financial and investment analyst,Training and development specialist,43.9,56.7,20.00,0.00,-3.75,10.00,9.62
Facilities manager,Public relations manager,23.4,66.4,0.00,0.00,0.00,0.00,0.00
Sales manager,Training and development specialist,33.1,56.7,15.00,0.00,-2.50,7.50,7.31
Financial and investment analyst,Administrative services manager,43.9,74.0,12.50,5.00,2.50,8.75,8.53
Architectural and engineering manager,Financial manager,12.8,56.2,2.50,30.00,2.50,16.25,15.84
Purchasing manager,Marketing specialist,47.7,61.7,0.00,0.00,0.00,0.00,0.00
Training and development manager,Financial manager,48.0,56.2,0.00,12.50,-3.75,6.25,6.02
Sales manager,Advertising sales agent,33.1,52.7,10.00,0.00,-3.03,5.00,4.85
Management analyst,Accountant,46.6,57.0,0.00,5.00,-2.50,2.50,2.44
Industrial production manager,Human resources manager,19.1,76.5,2.50,0.00,2.50,1.25,1.22
Facilities manager,Social and community service manager,23.4,71.7,2.50,0.00,0.00,1.25,1.25
Purchasing manager,Administrative services manager,47.7,74.0,0.00,2.50,1.25,1.25,1.23
Industrial production manager,Financial manager,19.1,56.2,0.00,45.00,3.75,22.50,21.66
Operation manager,Financial manager,37.1,56.2,0.00,20.00,-3.75,10.00,9.62
Industrial production manager,Human resources worker,19.1,76.5,2.50,0.00,1.25,1.25,1.23
Sales manager,Insurance sales agent,33.1,54.9,5.00,0.00,-1.61,2.50,2.46
Architectural and engineering manager,Marketing specialist,12.8,61.7,5.00,0.00,1.25,2.50,2.47
Postsecondary teacher,Secondary school teacher,46.6,56.9,0.00,0.00,0.00,0.00,0.00
Facilities manager,Human resources worker,23.4,76.5,2.50,0.00,1.25,1.25,1.23
Software developer,Marketing specialist,20.2,61.7,0.00,0.00,0.00,0.00,0.00
Industrial production manager,Marketing manager,19.1,62.4,0.00,2.50,1.25,1.25,1.23
Facilities manager,Training and development specialist,23.4,56.7,0.00,0.00,0.00,0.00,0.00
Software developer,Operations research analyst,20.2,55.0,0.00,0.00,0.00,0.00,0.00
Web and digital interface designer,Marketing specialist,42.7,61.7,0.00,0.00,0.00,0.00,0.00
Information security analyst,Administrative services manager,19.3,74.0,2.50,5.00,1.25,3.75,3.70
Industrial production manager,Operations research analyst,19.1,55.0,2.50,0.00,1.25,1.25,1.23
Facilities manager,Financial manager,23.4,56.2,0.00,15.00,-2.50,7.50,7.31
Financial and investment analyst,Marketing manager,43.9,62.4,7.50,0.00,1.25,3.75,3.70
Industrial production manager,Public relations manager,19.1,66.4,2.50,2.50,2.50,2.50,2.44
Project management specialist,Public relations specialist,47.3,76.2,2.50,0.00,1.25,1.25,1.23
Industrial production manager,Administrative services manager,19.1,74.0,0.00,10.00,7.50,5.00,4.63
Facilities manager,Marketing specialist,23.4,61.7,0.00,0.00,0.00,0.00,0.00
Financial and investment analyst,Marketing specialist,43.9,61.7,12.50,0.00,1.25,6.25,6.17
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,0.00,0.00,0.00,0.00,0.00
Operation manager,Marketing manager,37.1,62.4,2.50,0.00,1.25,1.25,1.23
Industrial production manager,Training and development specialist,19.1,56.7,2.50,0.00,1.25,1.25,1.23
Purchasing manager,Accountant,47.7,57.0,2.50,5.00,-3.75,3.75,3.61
Financial and investment analyst,Insurance underwriter,43.9,56.9,7.50,0.00,1.25,3.75,3.70
Financial and investment analyst,Public relations manager,43.9,66.4,15.00,0.00,0.00,7.50,7.50
Chemical engineer,Medical scientist,21.6,51.8,0.00,13.16,-1.28,6.58,6.49
Operation manager,Human resources manager,37.1,76.5,2.50,0.00,1.25,1.25,1.23
Architectural and engineering manager,Human resources worker,12.8,76.5,10.00,0.00,1.25,5.00,4.94
Operation manager,Public relations manager,37.1,66.4,7.50,0.00,1.25,3.75,3.70
Training and development manager,Social and community service manager,48.0,71.7,0.00,0.00,0.00,0.00,0.00
Financial and investment analyst,Accountant,43.9,57.0,12.50,15.00,1.25,13.75,13.58
Financial and investment analyst,Human resources manager,43.9,76.5,12.50,2.50,2.50,7.50,7.31
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Training and development specialist,47.7,56.7,2.50,0.00,-1.25,1.25,1.23
Web developer,Graphic designer,19.4,54.7,0.00,10.81,0.00,5.41,5.41
Purchasing manager,Social and community service manager,47.7,71.7,5.00,0.00,-3.75,2.50,2.41
Chemical engineer,Biological scientist,21.6,55.0,0.00,8.11,3.90,4.05,3.90
