job_male,job_female,similarity,job_male_ratio,job_female_ratio
Training and development manager,Training and development specialist,0.97412109375,48.0,56.7
Project management specialist,Training and development specialist,0.9501953125,47.3,56.7
Information security analyst,Operations research analyst,0.94873046875,19.3,55.0
Sales manager,Marketing manager,0.9462890625,33.1,62.4
Financial and investment analyst,Operations research analyst,0.94580078125,43.9,55.0
Project management specialist,Marketing manager,0.9384765625,47.3,62.4
Project management specialist,Marketing specialist,0.93798828125,47.3,61.7
Training and development manager,Administrative services manager,0.9375,48.0,74.0
Management analyst,Operations research analyst,0.93603515625,46.6,55.0
Project management specialist,Administrative services manager,0.935546875,47.3,74.0
Architectural and engineering manager,Medical and health services manager,0.9345703125,12.8,71.8
Architectural and engineering manager,Administrative services manager,0.9326171875,12.8,74.0
Management analyst,Marketing manager,0.931640625,46.6,62.4
Training and development manager,Medical and health services manager,0.9287109375,48.0,71.8
Management analyst,Financial manager,0.927734375,46.6,56.2
Sales manager,Marketing specialist,0.92626953125,33.1,61.7
Purchasing manager,Marketing manager,0.92626953125,47.7,62.4
Management analyst,Marketing specialist,0.92578125,46.6,61.7
Project management specialist,Operations research analyst,0.9248046875,47.3,55.0
Counter and rental clerk,Order clerk,0.921875,38.7,58.3
Training and development manager,Marketing manager,0.92138671875,48.0,62.4
Facilities manager,Marketing manager,0.9208984375,23.4,62.4
Sales manager,Public relations manager,0.92041015625,33.1,66.4
Architectural and engineering manager,Marketing manager,0.92041015625,12.8,62.4
Project management specialist,Medical and health services manager,0.92041015625,47.3,71.8
Purchasing manager,Financial manager,0.919921875,47.7,56.2
Food service manager,Administrative services manager,0.919921875,46.7,74.0
Sales manager,Financial manager,0.91943359375,33.1,56.2
Information security analyst,Administrative services manager,0.91943359375,19.3,74.0
Information security analyst,Training and development specialist,0.91943359375,19.3,56.7
Architectural and engineering manager,Training and development specialist,0.9189453125,12.8,56.7
Sales manager,Human resources manager,0.91845703125,33.1,76.5
Project management specialist,Public relations manager,0.91748046875,47.3,66.4
Sales manager,Customer service representative,0.9169921875,33.1,65.3
Financial and investment analyst,Financial manager,0.9150390625,43.9,56.2
Training and development manager,Human resources manager,0.91455078125,48.0,76.5
Architectural and engineering manager,Human resources manager,0.91455078125,12.8,76.5
Project management specialist,Human resources manager,0.9140625,47.3,76.5
Management analyst,Human resources manager,0.9130859375,46.6,76.5
Management analyst,Public relations manager,0.912109375,46.6,66.4
Facilities manager,Human resources manager,0.91162109375,23.4,76.5
Purchasing manager,Human resources manager,0.91015625,47.7,76.5
Project management specialist,Public relations specialist,0.91015625,47.3,76.2
Occupational health and safety specialist,Medical and health services manager,0.90966796875,17.9,71.8
Financial and investment analyst,Training and development specialist,0.9091796875,43.9,56.7
Food service manager,Medical and health services manager,0.90771484375,46.7,71.8
Counter and rental clerk,Payroll and timekeeping clerk,0.90771484375,38.7,88.2
Project management specialist,Human resources worker,0.9072265625,47.3,76.5
Information security analyst,Marketing manager,0.9072265625,19.3,62.4
Training and development manager,Public relations manager,0.90673828125,48.0,66.4
Electrical and electronic engineering technician,Training and development specialist,0.90673828125,11.6,56.7
Construction manager,Marketing manager,0.90625,10.6,62.4
Operation manager,Marketing manager,0.90576171875,37.1,62.4
Industrial production manager,Human resources worker,0.90576171875,19.1,76.5
Purchasing manager,Public relations manager,0.90576171875,47.7,66.4
Project management specialist,Financial manager,0.90576171875,47.3,56.2
Electrical and electronic engineering technician,Operations research analyst,0.9052734375,11.6,55.0
Sales manager,Advertising sales agent,0.90478515625,33.1,52.7
Management analyst,Social and community service manager,0.90478515625,46.6,71.7
Management analyst,Human resources worker,0.90478515625,46.6,76.5
Management analyst,Public relations specialist,0.90478515625,46.6,76.2
Facilities manager,Public relations manager,0.904296875,23.4,66.4
Industrial production manager,Marketing manager,0.904296875,19.1,62.4
Construction manager,Human resources manager,0.904296875,10.6,76.5
Architectural and engineering manager,Public relations manager,0.904296875,12.8,66.4
Project management specialist,Customer service representative,0.904296875,47.3,65.3
Training and development manager,Social and human service assistant,0.90380859375,48.0,75.3
Project management specialist,Social and community service manager,0.90380859375,47.3,71.7
Architectural and engineering manager,Financial manager,0.9033203125,12.8,56.2
Project management specialist,Social and human service assistant,0.9033203125,47.3,75.3
Information security analyst,Marketing specialist,0.9033203125,19.3,61.7
Facilities manager,Administrative services manager,0.90283203125,23.4,74.0
Industrial production manager,Human resources manager,0.90234375,19.1,76.5
Food service manager,Social and human service assistant,0.90234375,46.7,75.3
Information security analyst,Medical and health services manager,0.90234375,19.3,71.8
Facilities manager,Lodging manager,0.90185546875,23.4,61.6
Training and development manager,Marketing specialist,0.9013671875,48.0,61.7
Management analyst,Customer service representative,0.9013671875,46.6,65.3
Purchasing manager,Marketing specialist,0.90087890625,47.7,61.7
